APN,SP,SFLA,BEDS,Baths,Age,Stories,Vacant,Month,Day,Year
070-090-08,250000,2206,3,2.5,12,2,0,1,24,2001
071-371-12,202500,1881,3,2,11,1,1,1,30,2001
071-374-14,245000,2086,3,2.5,11,2,0,1,29,2001
072-050-72,176500,2226,4,2.5,23,2,0,1,19,2001
072-060-14,181700,1914,4,2,23,1,0,1,7,2001
072-140-31,189950,2200,4,2.5,23,2,0,1,17,2001
075-050-10,147000,1272,3,1.5,42,1,1,1,31,2001
075-180-01,171000,1611,4,2,33,1,1,1,19,2001
078-070-31,185000,1503,3,2,12,1,0,1,10,2001
078-090-31,220000,2161,4,2.5,15,2,0,1,12,2001
078-270-12,178950,1423,3,2,20,1,1,1,22,2001
079-051-37,135000,1288,3,2,38,1,1,1,7,2001
079-062-04,115000,1175,3,2,37,1,1,1,9,2001
079-234-07,129950,1210,3,2,38,1,0,1,29,2001
079-264-16,150000,1525,3,2,36,1,0,1,9,2001
079-390-08,134950,1213,3,2,28,1,1,1,12,2001
079-420-01,125000,1140,4,2,26,1,0,1,21,2001
080-090-07,205000,2226,4,2.5,21,2,0,1,16,2001
080-090-45,192500,2200,4,2.5,21,2,0,1,29,2001
081-110-07,141500,1308,3,2,32,1,1,1,9,2001
081-110-37,144000,1418,3,2,33,1,1,1,30,2001
081-344-19,117500,1200,3,2,47,1,0,1,11,2001
081-375-08,90000,1425,4,1,55,1,0,1,13,2001
082-100-36,150000,1704,4,2.5,26,1,0,1,6,2001
082-160-22,145000,1428,3,1.5,27,1,1,1,31,2001
082-260-17,166000,1989,4,3,27,2,1,1,19,2001
085-190-17,175000,1520,3,2,42,1,0,1,31,2001
085-250-17,259000,2131,3,2.5,50,1,0,1,29,2001
085-340-03,425000,2827,4,3.5,37,1,0,1,30,2001
085-380-13,368000,3989,5,2.5,34,1,0,1,10,2001
087-121-33,95000,900,2,1,37,1,1,1,31,2001
087-240-01,358000,2500,4,2.5,15,1,0,1,23,2001
088-053-23,153000,1476,3,1.5,19,1,0,1,23,2001
088-080-01,120000,1164,3,2,21,1,0,1,31,2001
088-130-24,129950,1307,3,2,22,1,0,1,31,2001
088-390-31,210000,1894,4,2.5,9,2,0,1,24,2001
089-090-02,280000,1900,3,2.5,0,1,0,1,11,2001
090-060-19,123500,1397,3,2,25,1,0,1,15,2001
090-380-11,158000,1685,3,2.5,13,2,0,1,30,2001
090-510-06,166700,1688,3,2.5,12,2,0,1,29,2001
090-530-31,155000,1227,3,2,11,1,1,1,24,2001
092-310-03,210000,2038,4,2,2,1,0,1,1,2001
092-310-42,269950,2450,4,3,2,2,0,1,12,2001
094-240-42,134500,1258,3,2,18,1,0,1,11,2001
094-310-06,139950,1260,3,2,11,1,1,1,11,2001
094-310-65,167750,1678,3,2.5,12,2,0,1,15,2001
094-330-30,105000,925,2,2,12,1,0,1,2,2001
096-110-29,190000,2041,4,2.5,12,2,0,1,9,2001
096-220-09,185000,1630,4,2.5,7,2,0,1,21,2001
096-240-44,158000,1498,4,2,6,1,1,1,11,2001
096-260-32,164950,1502,4,2,4,1,1,1,30,2001
097-140-05,180050,1800,3,2,47,1,1,1,20,2001
097-202-30,105000,957,2,1,48,1,1,1,25,2001
097-210-11,159000,1557,3,2,18,1,1,1,18,2001
097-243-09,350000,2363,2,3,34,1,0,1,4,2001
097-285-04,120000,898,2,1,50,1,1,1,24,2001
097-640-19,74000,900,2,1,31,1,1,1,23,2001
098-020-05,212250,1598,3,2,24,1,0,1,15,2001
100-230-07,184000,1465,2,2,31,1,0,1,19,2001
109-284-06,142000,1300,3,2,36,1,0,1,26,2001
109-285-02,174550,1464,3,2,36,1,1,1,16,2001
110-206-02,235750,2550,5,2.5,36,2,1,1,15,2001
111-030-15,110000,1053,3,1,47,1,0,1,25,2001
111-051-15,154000,1500,3,2,45,1,0,1,5,2001
111-090-07,160000,1707,3,2,48,1,1,1,11,2001
111-141-16,102820,1045,3,1,47,1,1,1,17,2001
111-201-10,138700,1450,3,1,51,1,1,1,1,2001
111-210-14,105500,1040,3,1,50,1,0,1,10,2001
111-334-01,109950,1201,3,1,54,1,1,1,28,2001
111-351-16,157500,1391,3,2,36,1,1,1,8,2001
111-392-16,216000,2883,5,2.5,13,2,0,1,15,2001
112-170-55,212500,1979,4,3,25,1,0,1,2,2001
113-043-05,210000,1700,3,1.5,53,1,0,1,28,2001
113-062-13,134500,1030,2,1,56,1,0,1,30,2001
113-081-10,155000,1472,3,1.5,57,1,1,1,9,2001
113-130-29,360000,3487,5,4,53,2,1,1,23,2001
113-203-05,232000,1695,4,1.5,69,1,0,1,2,2001
113-221-20,174000,1451,3,1,81,1,1,1,31,2001
113-310-33,218000,2702,4,3,62,2,0,1,18,2001
115-112-06,115000,889,2,1,51,1,0,1,22,2001
